,match,slot,text,Positivity,Team_Work,Sportsmanship,Spam,Toxic,Report_Misuse,Neutral
350,290,7,"every1 throw toys out pram, and storm spends more time typing than anything else, well im reporting storm and dusa, because you both tilted each other",,,,,,,
351,290,8,"this lineup is fucking stupid, this picks, these , these guys dont know how to play, and when went to gank they, ill sit in base, my lanes were dumb, you have 3 lock downs, i thought it be easy, then at 8 mins you were already up 6 0, before did anything, nothing can do when my team just run when come to gank",,,,,,,
352,290,9,"storm failed mid to ursa, and he whine, i wish you sat in base since the start, just push now, storm failing mid to ursa, thats fine you can report me hardly said anything  just responded to this dipshit, who kept whining",,,,,,,
353,291,2,IDI NAHUY,,,,,,,
354,294,2,comended team,,,,,,,
355,294,6,"np our SF is totaly autistic, sf is brainlet, pathetic AM pick in unranked, carried by SF",,,,,,,
356,295,1,GG our axe was bad though,,,,,,,
357,295,6,"yes we know that, and ez offane",,,,,,,
358,296,0,noobs always goes core,,,,,,,
359,296,3,COME AS 5,,,,,,,
360,297,0,let them def wtf,,,,,,,
361,297,3,wk reported,,,,,,,
362,297,4,"Yeah  don look at the WK, Please   , Just pretend the man doesn exist   ",,,,,,,
363,297,7,nice rofl mother dead ,,,,,,,
364,297,8,"cool, pa realy shit, look the shit pa, ez go fuck ur mather pla",,,,,,,
365,298,1,ofc,,,,,,,
366,300,0,ck you need to study  half your senteces make no sense,,,,,,,
367,300,2,"5 asshole move together, ASshole, Fuc you asshole, People",,,,,,,
368,300,3,sorry guys,,,,,,,
369,300,8,nice feed top trol and spectra,,,,,,,
370,303,0,GG team,,,,,,,
371,303,3,stfu techies player,,,,,,,
372,305,1,"cmon guys 3v1 really , thats what your mum said",,,,,,,
373,305,5,minced,,,,,,,
374,305,6,that was 3v1 too ,,,,,,,
375,307,5,never 1st spec again,,,,,,,
376,307,7,we are late game,,,,,,,
377,309,8,"why you play whis shit heroes, reported pa , stupid shit hero , fast , peace of shits",,,,,,,
378,310,1,Report wk,,,,,,,
379,312,0,"they dont have, go thorne, throne",,,,,,,
380,312,1,i ss one hit,,,,,,,
381,312,3,"im tilted af wid sf, practise wid bots how to grave teammates at what time",,,,,,,
382,312,4,nice carry husk ,,,,,,,
383,314,3,ill out retard your feed dont worry,,,,,,,
384,314,9,"now we get to see the purple cool aid man slowly punch our base to death, report alch for not having 0 25 seconds per atk, only 0 28",,,,,,,
385,315,2,why TK ,,,,,,,
386,315,7,Cancer sup,,,,,,,
387,316,4,"reported, doesnt mean am part of you",,,,,,,
388,317,1,"2 hits   , really , Come back , Nice rosh ",,,,,,,
389,318,6,"all of us no tango, party   , that pudge , cum back  , ohh its from universe its dizasta   ppd  ",,,,,,,
390,318,9,pls end as fast as can sirs,,,,,,,
391,321,4,wp my team,,,,,,,
392,322,3,nice comming ta,,,,,,,
393,324,5,ty for game,,,,,,,
394,325,0,thx 4 waiting,,,,,,,
395,328,5,"press change weather, she rec",,,,,,,
396,328,8,"rec wait, asshole ",,,,,,,
397,328,9,press for glyph of fortification,,,,,,,
398,329,0,"ty ty, why , too early, cool, that loss money, only me def ",,,,,,,
399,329,5,why quit  ,,,,,,,
400,329,7,so   who cares,,,,,,,
401,330,0,"CLICK,  thanks for hlep, one day",,,,,,,
402,332,6,"there is tip for noob player like am, if are some kind of retard, ply sup, we really, Respect him, team respect him, 1045 crit attack  , i stay in funtain",,,,,,,
403,332,9,"what are we supposed to do without carry , report him",,,,,,,
404,334,1,"our spec run away when war, with full hp",,,,,,,
405,334,6,"didnt know that , thought fly woulndt get stop, pheonix , omg the pheonix plays  D",,,,,,,
406,334,9,"wp team, good cover ",,,,,,,
407,335,6,bloodlust wins,,,,,,,
408,335,9,"im going to hook, when no one in my team, isn ear me",,,,,,,
409,338,1,"best thing about it, Is that our russian duo, antimage and axe, cannot even fucking finish game already won, Not even that ",,,,,,,
410,338,2,"report ursa thx, go fuck urself cuntù, stop focusing me",,,,,,,
411,338,7,report troll,,,,,,,
412,339,1,"go next ty, retard my fucking team ",,,,,,,
413,339,4,Cant believe retard wanbts to kill instead of ending the game,,,,,,,
414,339,5,1v3 fore what,,,,,,,
415,345,1,is this your life now ,,,,,,,
416,345,9,please,,,,,,,
417,347,3,said the monkey picker  D,,,,,,,
418,348,1,im herald in my heart,,,,,,,
419,348,4,"that stick lion, felt bad right ",,,,,,,
420,348,5,how are these ranks equal ,,,,,,,
421,350,9,go throne,,,,,,,
422,351,2,worth it,,,,,,,
423,353,7,why almost every game for me pudje ,,,,,,,
424,357,2,try hard,,,,,,,
425,358,9,Good Game  Well Played ,,,,,,,
426,359,2,"we ll just go and report this dude, he returned",,,,,,,
427,359,4,"I DON CARE MMR, U CARE     , I DON CARE IT, THANK YOU FOR IMPROVING THE DOTA 2 COMMUNITY, i think you mean",,,,,,,
428,359,5,"you forgot the T, are you calling for aid ",,,,,,,
429,359,9,what is repor ,,,,,,,
430,360,5,"report clock and tinker, or whatever",,,,,,,
431,360,6,wow rly  dood if you dont wanna play then dont qur game sheesh,,,,,,,
432,360,8,that feel so good,,,,,,,
433,360,9,"my team doesnt deserve to get out of lp, just goinna serll my items and dc, ppl qwith lowm iq deserve lp forever",,,,,,,
434,361,9,commend ember,,,,,,,
435,364,2,good thing pudge is staying in lane the whole time with that roaming ganking hook of his,,,,,,,
436,364,3,or 99 ,,,,,,,
437,365,1,"nice try my team xD, i dont understand wht ur say m8, dont act like ur philipine language like international language    ",,,,,,,
438,365,8,sure win ,,,,,,,
439,368,0,dude the other team doesnt wanna hear you be little bitch either,,,,,,,
440,368,1,"i like how my team saying how im losing when im under lvl once reconnected, U GOT 2nd move, TO COUNTER MY MISS, but my team dont know tha, they nv seen lc mid, what joke, sorry lc come back is real, my es from last game came through, its cool, lol carry him last game, he carry me this game, sounds fair, anyway tinker counter your teamate but counter me",,,,,,,
441,368,2,It fucked me more than you ,,,,,,,
